                       1 1111 1|nw = 189, c+1 = 649
                       1 1111 1|nw = 189, c+1 = 650
                       1 11111 |nw = 190, c+1 = 462
                       1 11111 |nw = 190, c+1 = 478
                       1 11111 |nw = 190, c+1 = 689
                       1 111111|nw = 191, c+1 = 404
                       11     1|nw = 193, c+1 = 717
                       11    1 |nw = 194, c+1 = 412
                       11    1 |nw = 194, c+1 = 654
                       11    11|nw = 195, c+1 = 407
                       11    11|nw = 195, c+1 = 484
                       11   1  |nw = 196, c+1 = 430
                       11   1 1|nw = 197, c+1 = 714
                       11   11 |nw = 198, c+1 = 481
                       11   11 |nw = 198, c+1 = 485
                       11   111|nw = 199, c+1 = 669
                       11  1   |nw = 200, c+1 = 432
                       11  1   |nw = 200, c+1 = 702
                       11  1  1|nw = 201, c+1 = 406
                       11  1  1|nw = 201, c+1 = 666
                       11  1 1 |nw = 202, c+1 = 480
                       11  1 11|nw = 203, c+1 = 411
                       11  1 11|nw = 203, c+1 = 426
                       11  1 11|nw = 203, c+1 = 502
                       11  1 11|nw = 203, c+1 = 667
                       11  11  |nw = 204, c+1 = 498
                       11  11  |nw = 204, c+1 = 501
                       11  11  |nw = 204, c+1 = 657
                       11  11  |nw = 204, c+1 = 703
                       11  11  |nw = 204, c+1 = 705
                       11  11 1|nw = 205, c+1 = 427
                       11  111 |nw = 206, c+1 = 431
                       11  111 |nw = 206, c+1 = 497
                       11  111 |nw = 206, c+1 = 670
                       11 1    |nw = 208, c+1 = 655
                       11 1    |nw = 208, c+1 = 704
                       11 1    |nw = 208, c+1 = 706
                       11 1  1 |nw = 210, c+1 = 483
                       11 1  1 |nw = 210, c+1 = 668
                       11 1  1 |nw = 210, c+1 = 671
                       11 1  11|nw = 211, c+1 = 429
                       11 1 1  |nw = 212, c+1 = 659
                       11 1 1  |nw = 212, c+1 = 707
                       11 1 1 1|nw = 213, c+1 = 487
                       11 1 11 |nw = 214, c+1 = 428
                       11 1 11 |nw = 214, c+1 = 482
                       11 1 11 |nw = 214, c+1 = 658
                       11 1 111|nw = 215, c+1 = 408
                       11 1 111|nw = 215, c+1 = 413
                       11 1 111|nw = 215, c+1 = 486
                       11 11   |nw = 216, c+1 = 434
                       11 11  1|nw = 217, c+1 = 410
                       11 11  1|nw = 217, c+1 = 503
                       11 11  1|nw = 217, c+1 = 504
                       11 11 1 |nw = 218, c+1 = 415
                       11 11 1 |nw = 218, c+1 = 656
                       11 11 11|nw = 219, c+1 = 715
                       11 111  |nw = 220, c+1 = 716
                       11 111 1|nw = 221, c+1 = 409
                       11 111 1|nw = 221, c+1 = 500
                       11 1111 |nw = 222, c+1 = 414
                       11 1111 |nw = 222, c+1 = 433
                       11 1111 |nw = 222, c+1 = 499
                       11 1111 |nw = 222, c+1 = 718
                       111    1|nw = 225, c+1 = 488
                       111   1 |nw = 226, c+1 = 435
                       111   1 |nw = 226, c+1 = 672
                       111   1 |nw = 226, c+1 = 675
                       111   1 |nw = 226, c+1 = 722
                       111   11|nw = 227, c+1 = 489
                       111  1  |nw = 228, c+1 = 719
                       111  1 1|nw = 229, c+1 = 436
                       111  11 |nw = 230, c+1 = 417
                       111  111|nw = 231, c+1 = 422
                       111  111|nw = 231, c+1 = 441
                       111 1   |nw = 232, c+1 = 494
                       111 1   |nw = 232, c+1 = 510
                       111 1   |nw = 232, c+1 = 723
                       111 1  1|nw = 233, c+1 = 509
                       111 1  1|nw = 233, c+1 = 708
                       111 1 1 |nw = 234, c+1 = 416
                       111 1 1 |nw = 234, c+1 = 720
                       111 1 11|nw = 235, c+1 = 493
                       111 1 11|nw = 235, c+1 = 505
                       111 1 11|nw = 235, c+1 = 506
                       111 1 11|nw = 235, c+1 = 663
                       111 1 11|nw = 235, c+1 = 676
                       111 11 1|nw = 237, c+1 = 440
                       111 111 |nw = 238, c+1 = 421
                       111 111 |nw = 238, c+1 = 673
                       111 1111|nw = 239, c+1 = 490
                       111 1111|nw = 239, c+1 = 660
                       111 1111|nw = 239, c+1 = 664
                       111 1111|nw = 239, c+1 = 711
                       1111    |nw = 240, c+1 = 437
                       1111   1|nw = 241, c+1 = 423
                       1111   1|nw = 241, c+1 = 662
                       1111  1 |nw = 242, c+1 = 419
                       1111  1 |nw = 242, c+1 = 661
                       1111  11|nw = 243, c+1 = 442
                       1111  11|nw = 243, c+1 = 712
                       1111 1  |nw = 244, c+1 = 709
                       1111 1 1|nw = 245, c+1 = 424
                       1111 1 1|nw = 245, c+1 = 443
                       1111 1 1|nw = 245, c+1 = 665
                       1111 11 |nw = 246, c+1 = 418
                       1111 111|nw = 247, c+1 = 724
